SYMBOL,NAME,PRICE
AXP,American Express Co,177.11
AMGN,Amgen Inc,233.23
AAPL,Apple Inc,193.13
BA,Boeing Co,213.61
CAT,Caterpillar Inc,261.09
CSCO,Cisco Systems Inc,52.37
CVX,Chevron Corp,156.4
GS,Goldman Sachs Group Inc,350.86
HD,Home Depot Inc,319.09
HON,Honeywell International Inc,207.96
IBM,International Business Machines Corp,138.38
INTC,Intel Corp,33.37
JNJ,Johnson & Johnson,168.38
KO,Coca-Cola Co,62.39
JPM,JPMorgan Chase & Co,156.15
MCD,McDonald's Corp,297.13
MMM,3M Co,104.29
MRK,Merck & Co Inc,108.46
MSFT,Microsoft Corp,346.87
NKE,Nike Inc,107.53
PG,Procter & Gamble Co,150.56
TRV,Travelers Companies Inc,173.63
UNH,UnitedHealth Group Inc,504.24
CRM,Salesforce Inc,228.16
VZ,Verizon Communications Inc,33.64
V,Visa Inc,239.62
WBA,Walgreens Boots Alliance Inc,30.24
WMT,Walmart Inc,157.48
DIS,Walt Disney Co,86.21
DOW,Dow Inc,53.05
